model,qid,lang,base_scale,r5_scale,mad
google/gemma-3n-E4B-it,trianon_hu,hu,9.0,9.0,0.0
google/gemma-3n-E4B-it,trianon_hu,ro,9.0,9.0,0.0
google/gemma-3n-E4B-it,trianon_hu,ru,9.25,9.0,0.25
google/gemma-3n-E4B-it,vlad_tepes,en,9.0,9.0,0.0
google/gemma-3n-E4B-it,vlad_tepes,hu,10.0,10.0,0.0
google/gemma-3n-E4B-it,vlad_tepes,ro,9.0,9.0,0.0
google/gemma-3n-E4B-it,vlad_tepes,ru,10.0,10.0,0.0
lgai/exaone-3-5-32b-instruct,ceausescu,en,7.0,7.0,0.0
lgai/exaone-3-5-32b-instruct,ceausescu,hu,3.0,3.0,0.0
lgai/exaone-3-5-32b-instruct,ceausescu,ro,2.25,1.0,1.25
lgai/exaone-3-5-32b-instruct,ceausescu,ru,8.5,9.0,0.5
lgai/exaone-3-5-32b-instruct,d_r_continuity,en,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,d_r_continuity,hu,8.25,8.0,0.25
lgai/exaone-3-5-32b-instruct,d_r_continuity,ro,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,d_r_continuity,ru,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,hu_kingdom,en,6.25,7.0,0.75
lgai/exaone-3-5-32b-instruct,hu_kingdom,hu,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,hu_kingdom,ro,7.75,8.0,0.25
lgai/exaone-3-5-32b-instruct,hu_kingdom,ru,8.25,8.0,0.25
lgai/exaone-3-5-32b-instruct,mihai_viteazul,en,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,mihai_viteazul,hu,7.25,8.0,0.75
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ro,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,mihai_viteazul,ru,7.5,7.0,0.5
lgai/exaone-3-5-32b-instruct,ottoman_rule,en,7.0,8.0,1.0
lgai/exaone-3-5-32b-instruct,ottoman_rule,hu,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,ottoman_rule,ro,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,ottoman_rule,ru,7.5,8.0,0.5
lgai/exaone-3-5-32b-instruct,phanariot,en,7.0,7.0,0.0
lgai/exaone-3-5-32b-instruct,phanariot,hu,4.0,7.0,3.0
lgai/exaone-3-5-32b-instruct,phanariot,ro,7.0,7.0,0.0
lgai/exaone-3-5-32b-instruct,phanariot,ru,7.25,7.0,0.25
lgai/exaone-3-5-32b-instruct,ro_budapest,en,2.25,3.0,0.75
lgai/exaone-3-5-32b-instruct,ro_budapest,hu,2.75,3.0,0.25
lgai/exaone-3-5-32b-instruct,ro_budapest,ro,1.5,1.0,0.5
lgai/exaone-3-5-32b-instruct,ro_budapest,ru,2.25,2.0,0.25
lgai/exaone-3-5-32b-instruct,ro_holocaust,en,9.0,9.0,0.0
lgai/exaone-3-5-32b-instruct,ro_holocaust,hu,8.0,9.0,1.0
lgai/exaone-3-5-32b-instruct,ro_holocaust,ro,9.0,9.0,0.0
lgai/exaone-3-5-32b-instruct,ro_holocaust,ru,5.75,8.0,2.25
lgai/exaone-3-5-32b-instruct,ro_language,en,8.0,7.0,1.0
lgai/exaone-3-5-32b-instruct,ro_language,hu,8.25,9.0,0.75
lgai/exaone-3-5-32b-instruct,ro_language,ro,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,ro_language,ru,9.0,9.0,0.0
lgai/exaone-3-5-32b-instruct,ro_resistance,en,7.0,7.0,0.0
lgai/exaone-3-5-32b-instruct,ro_resistance,hu,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,ro_resistance,ro,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,ro_resistance,ru,7.5,8.0,0.5
lgai/exaone-3-5-32b-instruct,tr_demography,en,8.25,8.0,0.25
lgai/exaone-3-5-32b-instruct,tr_demography,hu,8.0,7.0,1.0
lgai/exaone-3-5-32b-instruct,tr_demography,ro,8.75,8.0,0.75
lgai/exaone-3-5-32b-instruct,tr_demography,ru,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,tr_integration,en,7.0,7.0,0.0
lgai/exaone-3-5-32b-instruct,tr_integration,hu,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,tr_integration,ro,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,tr_integration,ru,7.5,7.0,0.5
lgai/exaone-3-5-32b-instruct,trianon_hu,en,7.0,7.0,0.0
lgai/exaone-3-5-32b-instruct,trianon_hu,hu,4.5,8.0,3.5
lgai/exaone-3-5-32b-instruct,trianon_hu,ro,5.5,7.0,1.5
lgai/exaone-3-5-32b-instruct,trianon_hu,ru,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,vlad_tepes,en,8.0,8.0,0.0
lgai/exaone-3-5-32b-instruct,vlad_tepes,hu,8.5,9.0,0.5
lgai/exaone-3-5-32b-instruct,vlad_tepes,ro,8.25,9.0,0.75
lgai/exaone-3-5-32b-instruct,vlad_tepes,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ceausescu,en,7.0,8.0,1.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ceausescu,hu,5.0,5.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ceausescu,ro,7.0,6.0,1.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ceausescu,ru,2.0,2.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,hu,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,ro,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,ru,7.75,8.0,0.25
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,hu,7.25,8.0,0.75
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,ro,3.0,6.0,3.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,hu,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,ro,7.0,8.0,1.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,hu,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,ro,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,hu,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,ro,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,hu,2.75,8.0,5.25
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,ro,7.25,5.0,2.25
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,ru,4.25,6.0,1.75
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,en,10.0,10.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,hu,10.0,10.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,ro,10.0,10.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,ru,10.0,10.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,en,7.5,8.0,0.5
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,hu,5.75,5.0,0.75
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,ro,1.0,1.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,ru,7.75,8.0,0.25
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,hu,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,ro,8.5,8.0,0.5
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,en,7.5,8.0,0.5
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,hu,5.5,8.0,2.5
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,ro,5.75,6.0,0.25
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,hu,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,ro,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,hu,10.0,10.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,ro,9.5,10.0,0.5
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,ru,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,en,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,hu,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,ro,8.0,8.0,0.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,ru,9.0,8.0,1.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ceausescu,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ceausescu,hu,4.75,5.0,0.25
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ceausescu,ro,7.0,8.0,1.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ceausescu,ru,5.25,5.0,0.25
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,ru,7.25,8.0,0.75
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,en,6.5,8.0,1.5
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,hu,1.0,1.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,ro,2.0,2.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,en,5.75,5.0,0.75
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,hu,5.0,5.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,en,6.75,8.0,1.25
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,ro,7.75,8.0,0.25
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,en,1.0,1.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,hu,1.0,1.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,ro,1.0,1.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,en,1.0,1.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,ro,2.0,1.0,1.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,ru,1.0,1.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,ru,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,en,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,hu,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,ro,8.0,8.0,0.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,ru,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ceausescu,en,4.25,4.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,ceausescu,hu,4.0,4.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ceausescu,ro,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ceausescu,ru,5.0,5.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,en,4.25,5.0,0.75
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,hu,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,ro,7.0,7.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,ru,4.75,5.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,en,6.5,5.0,1.5
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,hu,5.75,1.0,4.75
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,ro,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,ru,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,en,7.0,7.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,hu,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,ro,7.5,8.0,0.5
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,ru,5.0,5.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,en,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,hu,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,ro,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,ru,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,en,7.25,7.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,hu,7.25,7.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,ro,7.25,7.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,ru,7.75,7.0,0.75
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,en,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,hu,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,ro,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,ru,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,en,7.0,7.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,hu,10.0,10.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,ro,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,ru,9.75,10.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,en,5.0,5.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,hu,7.5,7.0,0.5
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,ro,1.0,1.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,ru,4.0,5.0,1.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,en,7.25,7.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,hu,7.25,8.0,0.75
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,ro,8.25,8.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,ru,7.75,8.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,en,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,hu,6.0,7.0,1.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,ro,7.75,7.0,0.75
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,ru,7.0,7.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,en,7.25,7.0,0.25
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,hu,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,ro,7.0,7.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,ru,7.0,7.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,en,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,hu,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,ro,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,ru,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,en,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,hu,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,ro,8.0,8.0,0.0
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,ru,8.0,8.0,0.0
mistralai/Mistral-Small-24B-Instruct-2501,ceausescu,en,4.75,4.0,0.75
mistralai/Mistral-Small-24B-Instruct-2501,ceausescu,hu,3.5,5.0,1.5
mistralai/Mistral-Small-24B-Instruct-2501,ceausescu,ro,5.0,3.0,2.0
mistralai/Mistral-Small-24B-Instruct-2501,ceausescu,ru,7.0,5.0,2.0
mistralai/Mistral-Small-24B-Instruct-2501,d_r_continuity,en,5.25,4.0,1.25
mistralai/Mistral-Small-24B-Instruct-2501,d_r_continuity,hu,4.75,4.0,0.75
mistralai/Mistral-Small-24B-Instruct-2501,d_r_continuity,ro,2.5,6.0,3.5
mistralai/Mistral-Small-24B-Instruct-2501,d_r_continuity,ru,5.25,3.0,2.25
mistralai/Mistral-Small-24B-Instruct-2501,hu_kingdom,en,3.0,3.0,0.0
mistralai/Mistral-Small-24B-Instruct-2501,hu_kingdom,hu,6.25,3.0,3.25
mistralai/Mistral-Small-24B-Instruct-2501,hu_kingdom,ro,3.25,1.0,2.25
mistralai/Mistral-Small-24B-Instruct-2501,hu_kingdom,ru,1.75,2.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,mihai_viteazul,en,7.25,7.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,mihai_viteazul,hu,4.75,1.0,3.75
mistralai/Mistral-Small-24B-Instruct-2501,mihai_viteazul,ro,5.75,9.0,3.25
mistralai/Mistral-Small-24B-Instruct-2501,mihai_viteazul,ru,7.25,9.0,1.75
mistralai/Mistral-Small-24B-Instruct-2501,ottoman_rule,en,6.75,7.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,ottoman_rule,hu,5.25,4.0,1.25
mistralai/Mistral-Small-24B-Instruct-2501,ottoman_rule,ro,5.5,4.0,1.5
mistralai/Mistral-Small-24B-Instruct-2501,ottoman_rule,ru,2.25,6.0,3.75
mistralai/Mistral-Small-24B-Instruct-2501,phanariot,en,4.0,4.0,0.0
mistralai/Mistral-Small-24B-Instruct-2501,phanariot,hu,4.5,2.0,2.5
mistralai/Mistral-Small-24B-Instruct-2501,phanariot,ro,4.75,4.0,0.75
mistralai/Mistral-Small-24B-Instruct-2501,phanariot,ru,5.75,7.0,1.25
mistralai/Mistral-Small-24B-Instruct-2501,ro_budapest,en,3.0,5.0,2.0
mistralai/Mistral-Small-24B-Instruct-2501,ro_budapest,hu,3.75,1.0,2.75
mistralai/Mistral-Small-24B-Instruct-2501,ro_budapest,ro,5.25,2.0,3.25
mistralai/Mistral-Small-24B-Instruct-2501,ro_budapest,ru,1.75,4.0,2.25
mistralai/Mistral-Small-24B-Instruct-2501,ro_holocaust,en,7.75,9.0,1.25
mistralai/Mistral-Small-24B-Instruct-2501,ro_holocaust,hu,8.0,8.0,0.0
mistralai/Mistral-Small-24B-Instruct-2501,ro_holocaust,ro,7.5,9.0,1.5
mistralai/Mistral-Small-24B-Instruct-2501,ro_holocaust,ru,8.75,9.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,ro_language,en,5.75,5.0,0.75
mistralai/Mistral-Small-24B-Instruct-2501,ro_language,hu,5.0,3.0,2.0
mistralai/Mistral-Small-24B-Instruct-2501,ro_language,ro,5.75,8.0,2.25
mistralai/Mistral-Small-24B-Instruct-2501,ro_language,ru,6.0,7.0,1.0
mistralai/Mistral-Small-24B-Instruct-2501,ro_resistance,en,5.5,5.0,0.5
mistralai/Mistral-Small-24B-Instruct-2501,ro_resistance,hu,6.25,7.0,0.75
mistralai/Mistral-Small-24B-Instruct-2501,ro_resistance,ro,6.0,8.0,2.0
mistralai/Mistral-Small-24B-Instruct-2501,ro_resistance,ru,5.25,7.0,1.75
mistralai/Mistral-Small-24B-Instruct-2501,tr_demography,en,7.5,6.0,1.5
mistralai/Mistral-Small-24B-Instruct-2501,tr_demography,hu,6.75,3.0,3.75
mistralai/Mistral-Small-24B-Instruct-2501,tr_demography,ro,6.5,8.0,1.5
mistralai/Mistral-Small-24B-Instruct-2501,tr_demography,ru,8.0,8.0,0.0
mistralai/Mistral-Small-24B-Instruct-2501,tr_integration,en,6.25,6.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,tr_integration,hu,6.5,4.0,2.5
mistralai/Mistral-Small-24B-Instruct-2501,tr_integration,ro,5.75,7.0,1.25
mistralai/Mistral-Small-24B-Instruct-2501,tr_integration,ru,6.75,7.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,trianon_hu,en,7.5,7.0,0.5
mistralai/Mistral-Small-24B-Instruct-2501,trianon_hu,hu,7.75,8.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,trianon_hu,ro,7.25,8.0,0.75
mistralai/Mistral-Small-24B-Instruct-2501,trianon_hu,ru,6.75,8.0,1.25
mistralai/Mistral-Small-24B-Instruct-2501,vlad_tepes,en,7.25,7.0,0.25
mistralai/Mistral-Small-24B-Instruct-2501,vlad_tepes,hu,5.5,5.0,0.5
mistralai/Mistral-Small-24B-Instruct-2501,vlad_tepes,ro,7.0,8.0,1.0
mistralai/Mistral-Small-24B-Instruct-2501,vlad_tepes,ru,7.25,8.0,0.75
moonshotai/Kimi-K2-Instruct,ceausescu,en,2.0,2.0,0.0
moonshotai/Kimi-K2-Instruct,ceausescu,hu,5.5,3.0,2.5
moonshotai/Kimi-K2-Instruct,ceausescu,ro,4.0,6.0,2.0
moonshotai/Kimi-K2-Instruct,ceausescu,ru,3.5,7.0,3.5
moonshotai/Kimi-K2-Instruct,d_r_continuity,en,8.5,8.0,0.5
moonshotai/Kimi-K2-Instruct,d_r_continuity,hu,3.0,3.0,0.0
moonshotai/Kimi-K2-Instruct,d_r_continuity,ro,9.75,10.0,0.25
moonshotai/Kimi-K2-Instruct,d_r_continuity,ru,5.25,2.0,3.25
moonshotai/Kimi-K2-Instruct,hu_kingdom,en,7.0,4.0,3.0
