model,question_id,language,historian_grade,expected_yes,correct_count,total_count,accuracy,accuracy_pct,language_label
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,ru,1.0,False,0,4,0.0,0.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,ro,9.0,True,2,4,0.5,50.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,en,9.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
deepseek-ai/DeepSeek-R1,mihai_viteazul,ro,2.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,en,7.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,hu,7.0,True,0,4,0.0,0.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_budapest,ru,7.0,True,3,4,0.75,75.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,ro,1.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,en,1.0,False,4,4,1.0,100.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,hu,1.0,False,2,4,0.5,50.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_language,ru,1.0,False,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,en,7.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,en,9.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,hu,7.0,True,0,4,0.0,0.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_budapest,ru,7.0,True,0,4,0.0,0.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_integration,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,ro,1.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,ro,10.0,True,0,4,0.0,0.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,en,10.0,True,3,4,0.75,75.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,en,1.0,False,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,hu,10.0,True,0,4,0.0,0.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,hu,1.0,False,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-R1,mihai_viteazul,en,2.0,False,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,hu_kingdom,ru,10.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_language,ru,1.0,False,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,ro,8.0,True,0,4,0.0,0.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,ro,9.0,True,0,4,0.0,0.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,en,9.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,en,8.0,True,2,4,0.5,50.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,hu,8.0,True,1,4,0.25,25.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_integration,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_demography,ru,8.0,True,3,4,0.75,75.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,ro,10.0,True,0,4,0.0,0.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,ro,2.0,False,0,4,0.0,0.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,en,10.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,en,2.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,hu,10.0,True,0,4,0.0,0.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,hu,2.0,False,0,4,0.0,0.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,hu_kingdom,ru,10.0,True,0,4,0.0,0.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
arcee-ai/virtuoso-large,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,tr_demography,hu,8.0,True,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,phanariot,ro,2.0,False,0,4,0.0,0.0,RO
arcee-ai/virtuoso-large,phanariot,en,2.0,False,0,4,0.0,0.0,EN
arcee-ai/virtuoso-large,phanariot,hu,2.0,False,3,4,0.75,75.0,HU
arcee-ai/virtuoso-large,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
deepseek-ai/DeepSeek-R1,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,ro,2.0,False,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,mihai_viteazul,ro,2.0,False,2,4,0.5,50.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,en,2.0,False,0,4,0.0,0.0,EN
arcee-ai/virtuoso-large,mihai_viteazul,en,2.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,mihai_viteazul,ru,2.0,False,0,4,0.0,0.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,ro,1.0,False,0,4,0.0,0.0,RO
arcee-ai/virtuoso-large,d_r_continuity,ro,1.0,False,0,4,0.0,0.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,en,1.0,False,0,4,0.0,0.0,EN
arcee-ai/virtuoso-large,d_r_continuity,en,1.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,hu,1.0,False,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,d_r_continuity,hu,1.0,False,0,4,0.0,0.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,d_r_continuity,ru,1.0,False,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,d_r_continuity,ru,1.0,False,0,4,0.0,0.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-R1,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
moonshotai/Kimi-K2-Instruct,mihai_viteazul,ro,2.0,False,2,4,0.5,50.0,RO
arcee-ai/virtuoso-large,ro_resistance,en,1.0,False,0,4,0.0,0.0,EN
arcee-ai/virtuoso-large,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,ro_resistance,ru,1.0,False,0,4,0.0,0.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
arcee-ai/virtuoso-large,vlad_tepes,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,en,1.0,False,0,4,0.0,0.0,EN
arcee-ai/virtuoso-large,vlad_tepes,en,9.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
arcee-ai/virtuoso-large,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_resistance,ru,1.0,False,1,4,0.25,25.0,RU
arcee-ai/virtuoso-large,trianon_hu,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,ro,9.0,True,0,4,0.0,0.0,RO
arcee-ai/virtuoso-large,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,en,9.0,True,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,ro,9.0,True,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
moonshotai/Kimi-K2-Instruct,mihai_viteazul,en,2.0,False,3,4,0.75,75.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
arcee-ai/virtuoso-large,ro_budapest,en,7.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,ro_budapest,hu,7.0,True,2,4,0.5,50.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,ro_budapest,ru,7.0,True,0,4,0.0,0.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,ro_language,ro,1.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-R1,d_r_continuity,ro,1.0,False,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,ro_language,en,1.0,False,3,4,0.75,75.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
arcee-ai/virtuoso-large,ro_language,hu,1.0,False,3,4,0.75,75.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,en,7.0,True,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,ro_language,ru,1.0,False,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,hu,7.0,True,0,4,0.0,0.0,HU
arcee-ai/virtuoso-large,tr_integration,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_budapest,ru,7.0,True,0,4,0.0,0.0,RU
arcee-ai/virtuoso-large,tr_integration,en,9.0,True,4,4,1.0,100.0,EN
moonshotai/Kimi-K2-Instruct,mihai_viteazul,hu,2.0,False,3,4,0.75,75.0,HU
arcee-ai/virtuoso-large,tr_integration,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,ro,1.0,False,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,tr_integration,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,en,1.0,False,4,4,1.0,100.0,EN
arcee-ai/virtuoso-large,hu_kingdom,ro,10.0,True,0,4,0.0,0.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,hu,1.0,False,4,4,1.0,100.0,HU
arcee-ai/virtuoso-large,hu_kingdom,en,10.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,ro_language,ru,1.0,False,4,4,1.0,100.0,RU
arcee-ai/virtuoso-large,hu_kingdom,hu,10.0,True,1,4,0.25,25.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,ro,9.0,True,4,4,1.0,100.0,RO
arcee-ai/virtuoso-large,hu_kingdom,ru,10.0,True,0,4,0.0,0.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,en,9.0,True,2,4,0.5,50.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,hu,9.0,True,4,4,1.0,100.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,en,8.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-3.3-70B-Instruct-Turbo,tr_integration,ru,9.0,True,4,4,1.0,100.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,hu,8.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,ro,10.0,True,0,4,0.0,0.0,RO
deepseek-ai/DeepSeek-R1,d_r_continuity,en,1.0,False,4,4,1.0,100.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,en,10.0,True,3,4,0.75,75.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,ro,2.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,hu,10.0,True,0,4,0.0,0.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,en,2.0,False,3,4,0.75,75.0,EN
moonshotai/Kimi-K2-Instruct,mihai_viteazul,ru,2.0,False,1,4,0.25,25.0,RU
meta-llama/Llama-3.3-70B-Instruct-Turbo,hu_kingdom,ru,10.0,True,3,4,0.75,75.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,hu,2.0,False,0,4,0.0,0.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,hu,8.0,True,0,4,0.0,0.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,ro,2.0,False,0,4,0.0,0.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,en,2.0,False,3,4,0.75,75.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,ro,2.0,False,4,4,1.0,100.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,hu,2.0,False,0,4,0.0,0.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,en,2.0,False,1,4,0.25,25.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,mihai_viteazul,ru,2.0,False,3,4,0.75,75.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,ro,1.0,False,0,4,0.0,0.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,en,1.0,False,4,4,1.0,100.0,EN
moonshotai/Kimi-K2-Instruct,d_r_continuity,ro,1.0,False,0,4,0.0,0.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,hu,1.0,False,4,4,1.0,100.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,ro,2.0,False,4,4,1.0,100.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,d_r_continuity,ru,1.0,False,0,4,0.0,0.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,en,2.0,False,1,4,0.25,25.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-R1,d_r_continuity,hu,1.0,False,4,4,1.0,100.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,ro,1.0,False,3,4,0.75,75.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,en,1.0,False,0,4,0.0,0.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,en,1.0,False,4,4,1.0,100.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,hu,1.0,False,0,4,0.0,0.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,ru,1.0,False,4,4,1.0,100.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_resistance,ru,1.0,False,0,4,0.0,0.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,ro,9.0,True,0,4,0.0,0.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,en,9.0,True,0,4,0.0,0.0,EN
moonshotai/Kimi-K2-Instruct,d_r_continuity,en,1.0,False,0,4,0.0,0.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,ro,9.0,True,2,4,0.5,50.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,en,1.0,False,0,4,0.0,0.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-R1,d_r_continuity,ru,1.0,False,4,4,1.0,100.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,ru,1.0,False,0,4,0.0,0.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,ro,9.0,True,4,4,1.0,100.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,en,9.0,True,4,4,1.0,100.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,hu,10.0,True,0,4,0.0,0.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,ro,9.0,True,4,4,1.0,100.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,en,7.0,True,0,4,0.0,0.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
moonshotai/Kimi-K2-Instruct,d_r_continuity,hu,1.0,False,3,4,0.75,75.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,hu,7.0,True,2,4,0.5,50.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_budapest,ru,7.0,True,0,4,0.0,0.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,ro,1.0,False,0,4,0.0,0.0,RO
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,en,1.0,False,1,4,0.25,25.0,EN
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,hu,1.0,False,0,4,0.0,0.0,HU
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,ro_language,ru,1.0,False,0,4,0.0,0.0,RU
Qwen/Qwen2.5-7B-Instruct-Turbo,tr_integration,ro,9.0,True,4,4,1.0,100.0,RO
